时间,发电量,光照强度,温度,time_cos,time_sin,湿度
2019/6/15 18:00,78.3786,117.59,32.66,-5.39E-15,-1,37.17
2019/6/15 19:00,1.848,4.63,32.35,0.258819045,-0.965925826,39.07
2019/6/15 20:00,0,0,30.77,0.5,-0.866025404,50.33
2019/6/15 21:00,0,0,29.8,0.707106781,-0.707106781,52.71
2019/6/15 22:00,0,0,29.88,0.866025404,-0.5,50.98
2019/6/15 23:00,0,0,27.8,0.965925826,-0.258819045,63.99
2019/6/16 0:00,0,0,26.78,1,-1.08E-14,74.19
2019/6/16 1:00,0,0,26.01,0.965925826,0.258819045,78.12
2019/6/16 2:00,0,0,25.34,0.866025404,0.5,79.36
2019/6/16 3:00,0,0,24.9,0.707106781,0.707106781,77.14
2019/6/16 4:00,0,0,25,0.5,0.866025404,76.59
2019/6/16 5:00,0,0,24.48,0.258819045,0.965925826,78.48
2019/6/16 6:00,81.5204,60.76,24.69,1.62E-14,1,76.91
